0;astringent;sweet;malty
1;alcohol;sweet;malty
2;alcohol;sweet;malty
3;body;bitter;hoppy
4;body;bitter;hoppy
5;astringent;sweet;fruits
6;astringent;bitter;hoppy
7;astringent;sweet;fruits
8;astringent;sweet;malty
9;alcohol;sweet;fruits
10;astringent;sweet;malty
11;body;sweet;malty
12;alcohol;sweet;fruits
13;alcohol;sweet;malty
14;alcohol;sour;fruits
15;body;bitter;malty
16;body;sweet;malty
17;body;sweet;malty
18;astringent;bitter;hoppy
19;alcohol;sweet;spices
20;body;sweet;malty
21;alcohol;sweet;fruits
22;astringent;sweet;fruits
23;alcohol;sweet;fruits
24;astringent;sour;fruits
25;astringent;sweet;fruits
26;body;sweet;hoppy
27;;;malty
28;body;sweet;spices
29;astringent;bitter;hoppy
30;astringent;bitter;hoppy
31;body;bitter;hoppy
32;astringent;bitter;hoppy
33;alcohol;bitter;hoppy
34;astringent;bitter;fruits
35;body;sweet;malty
36;astringent;bitter;hoppy
37;astringent;bitter;hoppy
38;astringent;bitter;hoppy
39;astringent;sweet;malty
40;astringent;bitter;hoppy
41;body;sweet;malty
42;astringent;bitter;hoppy
43;alcohol;sweet;malty
44;astringent;bitter;hoppy
45;astringent;bitter;hoppy
46;astringent;bitter;malty
47;astringent;bitter;hoppy
48;astringent;bitter;hoppy
49;alcohol;sweet;malty
50;body;sweet;malty
51;astringent;sweet;malty
52;body;sweet;spices
53;body;bitter;malty
54;astringent;sweet;malty
55;astringent;sweet;fruits
56;astringent;sour;fruits
57;astringent;sour;fruits
58;astringent;sour;fruits
59;alcohol;bitter;hoppy
60;body;sweet;malty
61;astringent;bitter;hoppy
62;alcohol;sweet;malty
63;astringent;bitter;hoppy
64;astringent;sweet;fruits
65;astringent;bitter;hoppy
66;astringent;bitter;hoppy
67;astringent;bitter;hoppy
68;alcohol;bitter;hoppy
69;body;bitter;malty
70;body;sweet;malty
71;body;bitter;malty
72;body;bitter;malty
73;body;bitter;malty
74;body;bitter;spices
75;alcohol;sweet;spices
76;alcohol;sweet;fruits
77;body;bitter;hoppy
78;body;bitter;hoppy
79;body;sweet;malty
80;astringent;bitter;malty
81;astringent;sour;malty
82;alcohol;sweet;malty
83;body;sweet;malty
84;body;sweet;spices
85;astringent;sour;fruits
86;astringent;sour;fruits
87;astringent;sour;fruits
88;astringent;salty;fruits
89;body;bitter;malty
90;body;bitter;malty
91;body;bitter;malty
92;body;bitter;malty
93;body;bitter;malty
94;body;bitter;malty
95;body;bitter;malty
96;body;sweet;malty
97;alcohol;sweet;malty
98;alcohol;sweet;fruits
99;alcohol;sweet;fruits
100;alcohol;sweet;malty
101;alcohol;sweet;fruits
102;body;sweet;malty
103;astringent;sour;fruits
104;body;sweet;malty
105;astringent;sour;fruits
106;astringent;sour;fruits
107;alcohol;sweet;fruits
108;astringent;sour;fruits
109;astringent;sour;fruits
110;alcohol;sweet;spices
