0;Altbier
1;Barleywine - American
2;Barleywine - English
3;Bitter - English
4;Bitter - English Extra Special / Strong Bitter (ESB)
5;Bière de Champagne / Bière Brut
6;Blonde Ale - American
7;Blonde Ale - Belgian
8;Bock - Doppelbock
9;Bock - Eisbock
10;Bock - Maibock
11;Bock - Traditional
12;Bock - Weizenbock
13;Braggot
14;Brett Beer
15;Brown Ale - American
16;Brown Ale - Belgian Dark
17;Brown Ale - English
18;California Common / Steam Beer
19;Chile Beer
20;Cream Ale
21;Dubbel
22;Farmhouse Ale - Bière de Garde
23;Farmhouse Ale - Sahti
24;Farmhouse Ale - Saison
25;Fruit and Field Beer
26;Gruit / Ancient Herbed Ale
27;Happoshu
28;Herb and Spice Beer
29;IPA - American
30;IPA - Belgian
31;IPA - Black / Cascadian Dark Ale
32;IPA - English
33;IPA - Imperial
34;IPA - New England
35;Kvass
36;Kölsch
37;Lager - Adjunct
38;Lager - American
39;Lager - American Amber / Red
40;Lager - European / Dortmunder Export
41;Lager - European Dark
42;Lager - European Pale
43;Lager - European Strong
44;Lager - Helles
45;Lager - India Pale Lager (IPL)
46;Lager - Japanese Rice
47;Lager - Kellerbier / Zwickelbier
48;Lager - Light
49;Lager - Malt Liquor
50;Lager - Munich Dunkel
51;Lager - Märzen / Oktoberfest
52;Lager - Rauchbier
53;Lager - Schwarzbier
54;Lager - Vienna
55;Lambic - Faro
56;Lambic - Fruit
57;Lambic - Gueuze
58;Lambic - Traditional
59;Low Alcohol Beer
60;Mild Ale - English Dark
61;Mild Ale - English Pale
62;Old Ale
63;Pale Ale - American
64;Pale Ale - Belgian
65;Pale Ale - English
66;Pilsner - Bohemian / Czech
67;Pilsner - German
68;Pilsner - Imperial
69;Porter - American
70;Porter - Baltic
71;Porter - English
72;Porter - Imperial
73;Porter - Robust
74;Porter - Smoked
75;Pumpkin Beer
76;Quadrupel (Quad)
77;Red Ale - American Amber / Red
78;Red Ale - Imperial
79;Red Ale - Irish
80;Rye Beer
81;Rye Beer - Roggenbier
82;Scotch Ale / Wee Heavy
83;Scottish Ale
84;Smoked Beer
85;Sour - Berliner Weisse
86;Sour - Flanders Oud Bruin
87;Sour - Flanders Red Ale
88;Sour - Gose
89;Stout - American
90;Stout - American Imperial
91;Stout - English
92;Stout - Foreign / Export
93;Stout - Irish Dry
94;Stout - Oatmeal
95;Stout - Russian Imperial
96;Stout - Sweet / Milk
97;Strong Ale - American
98;Strong Ale - Belgian Dark
99;Strong Ale - Belgian Pale
100;Strong Ale - English
101;Tripel
102;Wheat Beer - American Dark
103;Wheat Beer - American Pale
104;Wheat Beer - Dunkelweizen
105;Wheat Beer - Hefeweizen
106;Wheat Beer - Kristallweizen
107;Wheat Beer - Wheatwine
108;Wheat Beer - Witbier
109;Wild Ale
110;Winter Warmer
