0;2,6;2,4;1,7
1;1,9;2,9;4,4
2;1,4;2,9;4,7
3;2,4;2,7;1,5
4;2,3;2,6;1,7
5;2,7;2,0;2,6
6;2,8;1,9;1,4
7;2,6;2,0;2,0
8;1,6;3,1;3,0
9;1,2;2,0;3,4
10;2,7;2,4;2,4
11;1,8;2,9;1,9
12;1,9;2,6;3,0
13;1,4;1,7;2,4
14;3,8;2,1;1,6
15;1,8;3,0;1,9
16;1,9;2,4;2,2
17;1,8;2,9;1,5
18;2,2;1,9;1,4
19;1,6;1,7;2,4
20;2,4;3,0;1,4
21;1,8;2,4;2,5
22;2,9;2,2;2,3
23;1,4;1,5;1,7
24;3,6;2,0;1,9
25;2,1;1,7;1,7
26;1,8;1,9;1,6
27;1,0;1,0;1,0
28;2,0;2,2;2,1
29;2,5;2,0;1,5
30;2,8;2,2;2,4
31;2,1;3,1;1,8
32;2,4;2,2;1,6
33;2,1;2,0;2,5
34;3,1;2,1;1,6
35;1,1;1,3;1,1
36;3,8;2,0;1,4
37;2,2;1,5;1,4
38;3,0;1,6;1,3
39;2,1;1,9;1,3
40;2,9;1,9;1,3
41;2,2;2,8;1,4
42;2,8;1,6;1,3
43;1,6;1,7;4,0
44;3,7;1,9;1,3
45;3,0;1,8;1,7
46;2,1;1,2;1,0
47;3,2;2,5;1,6
48;2,3;1,5;1,3
49;1,8;1,8;3,3
50;2,2;2,7;1,3
51;2,4;2,1;1,5
52;1,6;2,2;1,5
53;2,4;3,4;1,7
54;2,4;2,0;1,4
55;1,6;1,5;1,1
56;4,0;1,8;1,4
57;4,4;1,8;1,4
58;2,3;1,3;1,2
59;1,8;1,5;2,1
60;1,6;2,7;1,4
61;1,4;1,3;1,1
62;1,7;3,1;4,1
63;2,9;1,9;1,4
64;3,0;2,0;1,9
65;2,3;2,1;1,4
66;3,8;1,9;1,4
67;4,0;1,7;1,3
68;2,6;2,2;2,7
69;1,7;3,7;1,5
70;1,9;4,3;2,8
71;1,9;3,9;1,6
72;1,4;4,2;3,5
73;1,9;4,4;1,8
74;1,5;3,5;1,6
75;1,5;2,2;2,6
76;1,6;2,8;5,0
77;2,0;2,3;1,5
78;2,1;2,5;2,5
79;2,1;2,3;1,4
80;2,4;2,3;1,9
81;1,4;1,4;1,1
82;1,4;2,8;4,3
83;1,8;2,5;2,2
84;1,8;2,9;2,3
85;4,5;1,8;1,5
86;4,2;2,2;1,9
87;4,3;2,1;1,7
88;5,0;2,0;1,9
89;1,8;4,1;1,7
90;1,4;4,3;3,7
91;2,0;3,8;1,5
92;2,0;3,9;2,0
93;2,9;3,8;1,4
94;1,6;4,4;1,9
95;1,4;4,4;3,4
96;1,3;5,0;1,5
97;1,6;2,8;4,6
98;1,6;2,6;3,4
99;2,4;2,0;3,1
100;1,8;2,8;3,5
101;2,3;2,1;3,0
102;1,4;1,7;1,2
103;2,5;1,9;1,4
104;1,9;2,5;1,6
105;2,2;2,1;1,6
106;2,1;1,6;1,3
107;1,6;2,4;4,2
108;2,3;1,9;1,6
109;4,0;1,9;2,1
110;1,5;2,6;3,2
